epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,65.5353,1.95942,1.86844,1.69656,0.01307,0.43182,0.01009,0.0042,nan,nan,nan,0.0015842,0.0015842,0.0015842
44,66.7411,1.92193,1.79084,1.65095,0.01307,0.43182,0.01009,0.0042,nan,nan,nan,0.0015743,0.0015743,0.0015743
45,67.9349,2.20789,1.96706,1.88607,0.01307,0.43182,0.01009,0.0042,nan,nan,nan,0.0015644,0.0015644,0.0015644
46,69.1749,2.09561,1.95053,1.84673,0.02771,0.43182,0.01867,0.00626,3.1855,inf,5.85878,0.0015545,0.0015545,0.0015545
47,70.3843,2.08965,1.93553,1.89088,0.02771,0.43182,0.01867,0.00626,3.1855,inf,5.85878,0.0015446,0.0015446,0.0015446
48,71.574,2.02478,1.78903,1.74962,0.02771,0.43182,0.01867,0.00626,3.1855,inf,5.85878,0.0015347,0.0015347,0.0015347
49,72.7664,2.06708,2.07864,1.89848,0.02771,0.43182,0.01867,0.00626,3.1855,inf,5.85878,0.0015248,0.0015248,0.0015248
50,73.9874,2.14012,1.95428,1.93534,0.01467,0.5,0.0113,0.00313,3.23462,inf,13.262,0.0015149,0.0015149,0.0015149
51,75.1815,1.94008,1.74616,1.73299,0.01467,0.5,0.0113,0.00313,3.23462,inf,13.262,0.001505,0.001505,0.001505
52,76.3843,2.11316,1.89548,1.85335,0.01467,0.5,0.0113,0.00313,3.23462,inf,13.262,0.0014951,0.0014951,0.0014951
53,77.7405,1.80871,1.74385,1.55223,0.01467,0.5,0.0113,0.00313,3.23462,inf,13.262,0.0014852,0.0014852,0.0014852
54,78.947,1.7742,1.53376,1.52568,0.03156,0.47727,0.02463,0.00863,2.52612,77.015,4.06527,0.0014753,0.0014753,0.0014753
55,80.1398,1.72737,1.53393,1.59405,0.03156,0.47727,0.02463,0.00863,2.52612,77.015,4.06527,0.0014654,0.0014654,0.0014654
56,81.3276,1.78929,1.578,1.62009,0.03156,0.47727,0.02463,0.00863,2.52612,77.015,4.06527,0.0014555,0.0014555,0.0014555
57,82.5201,1.88114,1.71082,1.82998,0.03156,0.47727,0.02463,0.00863,2.52612,77.015,4.06527,0.0014456,0.0014456,0.0014456
58,83.7393,1.76879,1.58028,1.56502,0.63369,0.62918,0.60244,0.23693,2.07762,2.27197,1.93373,0.0014357,0.0014357,0.0014357
59,84.9312,1.83291,1.49918,1.66868,0.63369,0.62918,0.60244,0.23693,2.07762,2.27197,1.93373,0.0014258,0.0014258,0.0014258
60,86.1321,1.70008,1.32412,1.53707,0.63369,0.62918,0.60244,0.23693,2.07762,2.27197,1.93373,0.0014159,0.0014159,0.0014159
61,87.3258,1.89812,1.59299,1.72093,0.63369,0.62918,0.60244,0.23693,2.07762,2.27197,1.93373,0.001406,0.001406,0.001406
62,88.5268,1.70079,1.4068,1.54582,0.4914,0.65909,0.56101,0.2624,1.87628,1.7889,1.67321,0.0013961,0.0013961,0.0013961
63,89.7114,1.78901,1.46097,1.61761,0.4914,0.65909,0.56101,0.2624,1.87628,1.7889,1.67321,0.0013862,0.0013862,0.0013862
64,90.9107,1.71231,1.41406,1.58236,0.4914,0.65909,0.56101,0.2624,1.87628,1.7889,1.67321,0.0013763,0.0013763,0.0013763
65,92.0981,1.71484,1.60625,1.58291,0.4914,0.65909,0.56101,0.2624,1.87628,1.7889,1.67321,0.0013664,0.0013664,0.0013664
66,93.3358,1.71636,1.43105,1.57957,0.49201,0.72727,0.60335,0.32149,1.73864,1.69672,1.58347,0.0013565,0.0013565,0.0013565
67,94.6991,1.65793,1.45364,1.58863,0.49201,0.72727,0.60335,0.32149,1.73864,1.69672,1.58347,0.0013466,0.0013466,0.0013466
68,95.8921,1.55442,1.28206,1.50144,0.49201,0.72727,0.60335,0.32149,1.73864,1.69672,1.58347,0.0013367,0.0013367,0.0013367
69,97.0901,1.53322,1.24919,1.4532,0.49201,0.72727,0.60335,0.32149,1.73864,1.69672,1.58347,0.0013268,0.0013268,0.0013268
70,98.304,1.62939,1.32765,1.49631,0.685,0.59312,0.7276,0.42831,1.66082,1.45811,1.51366,0.0013169,0.0013169,0.0013169
71,99.5041,1.43255,1.22327,1.34964,0.685,0.59312,0.7276,0.42831,1.66082,1.45811,1.51366,0.001307,0.001307,0.001307
72,100.704,1.43653,1.25061,1.40339,0.685,0.59312,0.7276,0.42831,1.66082,1.45811,1.51366,0.0012971,0.0012971,0.0012971
73,101.9,1.48471,1.25911,1.38466,0.685,0.59312,0.7276,0.42831,1.66082,1.45811,1.51366,0.0012872,0.0012872,0.0012872
74,103.103,1.46828,1.19809,1.4255,0.64074,0.68182,0.74394,0.43955,1.65943,1.42946,1.53824,0.0012773,0.0012773,0.0012773
75,104.301,1.43357,1.18988,1.41596,0.64074,0.68182,0.74394,0.43955,1.65943,1.42946,1.53824,0.0012674,0.0012674,0.0012674
76,105.499,1.34655,1.11902,1.31323,0.64074,0.68182,0.74394,0.43955,1.65943,1.42946,1.53824,0.0012575,0.0012575,0.0012575
77,106.701,1.36701,1.04311,1.33405,0.64074,0.68182,0.74394,0.43955,1.65943,1.42946,1.53824,0.0012476,0.0012476,0.0012476
78,107.917,1.6369,1.4842,1.55431,0.77726,0.71392,0.79024,0.43724,1.73228,1.28068,1.54423,0.0012377,0.0012377,0.0012377
79,109.105,1.44841,1.11922,1.3923,0.77726,0.71392,0.79024,0.43724,1.73228,1.28068,1.54423,0.0012278,0.0012278,0.0012278
80,110.299,1.66457,1.46149,1.59639,0.77726,0.71392,0.79024,0.43724,1.73228,1.28068,1.54423,0.0012179,0.0012179,0.0012179
81,111.642,1.38704,1.12474,1.35025,0.77726,0.71392,0.79024,0.43724,1.73228,1.28068,1.54423,0.001208,0.001208,0.001208
82,112.85,1.41348,1.17686,1.43894,0.79057,0.75,0.82542,0.48886,1.74319,1.22186,1.53689,0.0011981,0.0011981,0.0011981
83,114.045,1.48646,1.26415,1.41951,0.79057,0.75,0.82542,0.48886,1.74319,1.22186,1.53689,0.0011882,0.0011882,0.0011882
84,115.24,1.4589,1.21174,1.38259,0.79057,0.75,0.82542,0.48886,1.74319,1.22186,1.53689,0.0011783,0.0011783,0.0011783
85,116.443,1.46724,1.18876,1.41661,0.79057,0.75,0.82542,0.48886,1.74319,1.22186,1.53689,0.0011684,0.0011684,0.0011684
86,117.665,1.34938,1.11924,1.35709,0.70417,0.79545,0.79149,0.47859,1.77804,1.20406,1.54535,0.0011585,0.0011585,0.0011585
87,118.864,1.33714,1.12209,1.30774,0.70417,0.79545,0.79149,0.47859,1.77804,1.20406,1.54535,0.0011486,0.0011486,0.0011486
88,120.052,1.29357,1.01971,1.27117,0.70417,0.79545,0.79149,0.47859,1.77804,1.20406,1.54535,0.0011387,0.0011387,0.0011387
89,121.249,1.44388,1.26013,1.47668,0.70417,0.79545,0.79149,0.47859,1.77804,1.20406,1.54535,0.0011288,0.0011288,0.0011288
90,122.473,1.39531,1.12825,1.3849,0.74899,0.75,0.80214,0.47057,1.74768,1.15912,1.50665,0.0011189,0.0011189,0.0011189
91,123.67,1.32626,0.99288,1.30543,0.74899,0.75,0.80214,0.47057,1.74768,1.15912,1.50665,0.001109,0.001109,0.001109
92,124.888,1.33366,0.95928,1.29195,0.74899,0.75,0.80214,0.47057,1.74768,1.15912,1.50665,0.0010991,0.0010991,0.0010991
93,126.087,1.37727,1.03865,1.31681,0.74899,0.75,0.80214,0.47057,1.74768,1.15912,1.50665,0.0010892,0.0010892,0.0010892
94,127.313,1.38867,1.069,1.39328,0.79676,0.62385,0.7723,0.48073,1.65676,1.16176,1.54664,0.0010793,0.0010793,0.0010793
95,128.682,1.34014,1.03044,1.33138,0.79676,0.62385,0.7723,0.48073,1.65676,1.16176,1.54664,0.0010694,0.0010694,0.0010694
96,129.885,1.2579,1.04559,1.30631,0.79676,0.62385,0.7723,0.48073,1.65676,1.16176,1.54664,0.0010595,0.0010595,0.0010595
97,131.105,1.50941,1.16408,1.45261,0.79676,0.62385,0.7723,0.48073,1.65676,1.16176,1.54664,0.0010496,0.0010496,0.0010496
98,132.323,1.60735,1.39983,1.59207,0.80352,0.68182,0.79481,0.49342,1.61742,1.13519,1.51432,0.0010397,0.0010397,0.0010397
99,133.525,1.32165,1.10103,1.39207,0.80352,0.68182,0.79481,0.49342,1.61742,1.13519,1.51432,0.0010298,0.0010298,0.0010298
100,134.731,1.16833,0.89678,1.20778,0.80352,0.68182,0.79481,0.49342,1.61742,1.13519,1.51432,0.0010199,0.0010199,0.0010199
101,135.94,1.15203,0.88385,1.21691,0.80352,0.68182,0.79481,0.49342,1.61742,1.13519,1.51432,0.00101,0.00101,0.00101
102,137.155,1.29998,0.99152,1.3003,0.77169,0.76827,0.82438,0.49315,1.64084,1.09323,1.48761,0.0010001,0.0010001,0.0010001
